,楼盘名称,楼盘价格,楼盘位置,楼盘户型,link,longitude,latitude
87,['滨江金茂府'],27500,晴川大道与两湖路交汇处,"['二居室(1)', '三居室(2)', '四居室(3)']",https://wh.fang.lianjia.com//loupan/p_bjjmfacjuk/,114.2695215,30.53107858
88,['五矿澜悦云玺'],8500,兴龙路以南，宋家岗东路以东,"['三居室(2)', '四居室(2)']",https://wh.fang.lianjia.com//loupan/p_wklyyxacjuo/,114.2315206,30.72853485
89,['地铁盛观尚城'],14000,地铁盛观尚城营销中心,"['二居室(3)', '三居室(9)', '四居室(3)']",https://wh.fang.lianjia.com//loupan/p_dtsgscacjuq/,114.1878324,30.53415415
90,['鄂旅投书院世家'],30000,白沙洲大道黄家湖大学城斜对面（绅宝大道武珞路小学分校旁）,['三居室(3)'],https://wh.fang.lianjia.com//loupan/p_eltsysjacjuu/,114.2615286,30.43350122
91,['金地悦海湾'],11000,三店中路与三店东路交汇处,"['三居室(4)', '四居室(1)']",https://wh.fang.lianjia.com//loupan/p_jdyhwacjvb/,114.1490901,30.64954305
92,['中信泰富滨江金融城'],30000,解放大道1818号,"['一居室(1)', '二居室(1)']",https://wh.fang.lianjia.com//loupan/p_zxtfbjjrcacpcc/,114.3315596,30.63878995
93,['美联中心'],20000,兴业路与中一路交汇处（金桥永旺）,['二居室(2)'],https://wh.fang.lianjia.com//loupan/p_mllbshqmlgjsqlacpce/,114.2892457,30.63831389
94,['盘龙理想城'],9000,巨龙大道56号,"['三居室(9)', '四居室(1)']",https://wh.fang.lianjia.com//loupan/p_pllxcaahxz/,114.2904305,30.71387206
95,['玉金山墅'],14000,索河镇金龙水寨,['七居室(2)'],https://wh.fang.lianjia.com//loupan/p_yjssaahzm/,113.9391894,30.54816374
96,['新长江香榭国际城'],7200,金口大道新长江林肯国际城,"['三居室(4)', '四居室(1)']",https://wh.fang.lianjia.com//loupan/p_xcjlkgjcbidyr/,114.1593732,30.34540027
97,['新影华翔城'],5000,双柳街陶家大湖畔（湖北大学阳逻校区向南两公里）,"['三居室(4)', '四居室(4)']",https://wh.fang.lianjia.com//loupan/p_xyhxcbidzo/,114.5906491,30.65228172
98,['恒韵府'],19800,汉阳大道与江城大道交汇处（四号线五里墩站D出口）,"['三居室(7)', '四居室(3)']",https://wh.fang.lianjia.com//loupan/p_wxhrfbidzr/,114.2474265,30.56019787
99,['新华壹号'],价格待定,新华路与建设大道交汇处（建设银行旁边）,[],https://wh.fang.lianjia.com//loupan/p_tzhfbieaj/,114.2839742,30.60143477
100,['金地悦江时代'],23000,古田路与古田二路交汇处,[],https://wh.fang.lianjia.com//loupan/p_jdyjsdbieex/,114.2088638,30.61762913
101,['鹏湖湾'],13000,江夏区纸坊街红旗村,"['三居室(8)', '四居室(4)', '五居室(2)']",https://wh.fang.lianjia.com//loupan/p_phwbilnx/,114.3143806,30.40921002
102,['旭辉江山境'],13000,洪山区白沙洲南郊路与建群一路交汇处（鲁巷实验小学建...,"['三居室(2)', '四居室(5)']",https://wh.fang.lianjia.com//loupan/p_xhjsjbilsk/,114.2843571,30.47695901
103,['弘阳印月府'],16500,墨水湖南路与江堤中路交汇处,"['二居室(2)', '三居室(4)', '四居室(4)']",https://wh.fang.lianjia.com//loupan/p_hyyyfbilyf/,114.2500288,30.53182266
104,['万科保利联投理想星光'],11500,军运村南岸·黄家湖大道·山湖路与豹子山街交汇处,"['三居室(5)', '四居室(1)']",https://wh.fang.lianjia.com//loupan/p_wkblltlxxgbincd/,114.2991553,30.43151924
105,['东湖时代中心'],26000,湖北省武汉市洪山区杨春湖路,"['一居室(1)', '二居室(3)', '三居室(1)']",https://wh.fang.lianjia.com//loupan/p_skqcmhjmfbinje/,114.4213856,30.61520308
106,['中海万松九里'],42000,青年路与雪松路交汇处,['四居室(1)'],https://wh.fang.lianjia.com//loupan/p_zhwsjlbintk/,114.2695289,30.59733927
107,['保利庭瑞阅江台'],14800,琴台大道与玉龙路交汇处,"['三居室(12)', '四居室(1)']",https://wh.fang.lianjia.com//loupan/p_bltryjtbinto/,114.2330322,30.57332374
108,['华发中城中央公园'],6500,柴泊大道与阳靠路交汇处往南200米（新洲区思源实验...,"['三居室(5)', '四居室(1)']",https://wh.fang.lianjia.com//loupan/p_hfzcybinun/,114.601353,30.69514815
109,['金川纯水岸'],11500,甲宝山路9号,['三居室(4)'],https://wh.fang.lianjia.com//loupan/p_jccsabivqx/,114.2586758,30.68963737
